name,released_at,genre,streaming_on,country,type,content_rating,imdb_rating,number_of_seasons,cast_and_crew
Ice Airport Alaska,10/26/2020,Documentary,"Paramount+, Prime Video",,TV Show,,7.8/10,2,[]
Mike Epps: Under Rated & Never Faded,11/10/2009,"Comedy, Documentary","Prime Video, Prime Video",,Movie,,6.2/10,,"[{'name': 'Marcus Raboy', 'description': 'director'}, {'name': 'Mike Epps', 'description': 'actor'}, {'name': 'Doug E. Fresh', 'description': 'actor'}, {'name': 'Mike Epps', 'description': 'author'}]"
Star Trek III: The Search for Spock,6/1/1984,"Science-Fiction, Action & Adventure","Paramount+, Prime Video",America,Movie,7+ (PG),6.6/10,,"[{'name': 'Leonard Nimoy', 'description': 'director'}, {'name': 'William Shatner', 'description': 'actor'}, {'name': 'DeForest Kelley', 'description': 'actor'}, {'name': 'Robin Curtis', 'description': 'actor'}, {'name': 'Merritt Butrick', 'description': 'actor'}, {'name': 'Christopher Lloyd', 'description': 'actor'}, {'name': 'James Doohan', 'description': 'actor'}, {'name': 'George Takei', 'description': 'actor'}, {'name': 'Walter Koenig', 'description': 'actor'}, {'name': 'Nichelle Nichols', 'description': 'actor'}, {'name': 'Mark Lenard', 'description': 'actor'}, {'name': 'James B. Sikking', 'description': 'actor'}, {'name': 'Phillip R. Allen', 'description': 'actor'}, {'name': 'Robert Hooks', 'description': 'actor'}, {'name': 'John Larroquette', 'description': 'actor'}, {'name': 'Judith Anderson', 'description': 'actor'}, {'name': 'Carl Steven', 'description': 'actor'}, {'name': 'Vadia Potenza', 'description': 'actor'}, {'name': 'Stephen Manley', 'description': 'actor'}, {'name': 'Joe W. Davis', 'description': 'actor'}, {'name': 'Miguel Ferrer', 'description': 'actor'}, {'name': 'Branscombe Richmond', 'description': 'actor'}, {'name': 'Harve Bennett', 'description': 'actor'}, {'name': 'Harve Bennett', 'description': 'author'}]"
Memento Mori,12/24/1999,"Drama, Horror",Kanopy,South Korea,Movie,18+ (R),6.3/10,,"[{'name': 'Kim Tae-yong', 'description': 'director'}, {'name': 'Min Kyu-dong', 'description': 'director'}, {'name': 'Park Ye-jin', 'description': 'actor'}, {'name': 'Rie Young-zin', 'description': 'actor'}, {'name': 'Kim Gyu-ri', 'description': 'actor'}, {'name': 'Gong Hyo-jin', 'description': 'actor'}, {'name': 'Kim Jae-in', 'description': 'actor'}, {'name': 'Baek Jong-hak', 'description': 'actor'}, {'name': 'Maeng Bong-Hak', 'description': 'actor'}, {'name': 'Jung Jin-Gak', 'description': 'actor'}, {'name': 'Han Min', 'description': 'actor'}, {'name': 'Chae Yoon-Seo', 'description': 'actor'}, {'name': 'Kim Kyeong-Jin', 'description': 'actor'}, {'name': 'Hye-mi Lee', 'description': 'actor'}, {'name': 'Shin Hye-Jung', 'description': 'actor'}, {'name': 'Seung-Yeon Han', 'description': 'actor'}, {'name': 'Lim Seong-eon', 'description': 'actor'}, {'name': 'Ku Hye-Ju', 'description': 'actor'}, {'name': 'Oh Min-ae', 'description': 'actor'}, {'name': 'Lee Choon-yeon', 'description': 'actor'}, {'name': 'Oh Ki-min', 'description': 'actor'}, {'name': 'Jung-Ok In', 'description': 'author'}, {'name': 'Kim Tae-yong', 'description': 'author'}, {'name': 'Min Kyu-dong', 'description': 'author'}]"
The Gift of Acadia,,Documentary,"Free Services, Prime Video",,Movie,,,,[]
Andy Forrester: Most of this is Baby Fat,1/1/2019,,Prime Video ,,Movie,,,,[]
Tehran,6/22/2020,"Drama, Thriller",Apple TV+,Israel,TV Show,18+ (TV-MA),7.5/10,2,"[{'name': 'Niv Sultan', 'description': 'actor'}, {'name': 'Shaun Toub', 'description': 'actor'}, {'name': 'Menashe Noy', 'description': 'actor'}, {'name': 'Shervin Alenabi', 'description': 'actor'}, {'name': 'Liraz Charhi', 'description': 'actor'}, {'name': 'Navid Negahban', 'description': 'actor'}, {'name': 'Fenia Cossovitsa', 'description': 'actor'}, {'name': 'Alon Aranya', 'description': 'actor'}, {'name': 'Dana Eden', 'description': 'actor'}, {'name': 'Dimitris Michalakis', 'description': 'actor'}, {'name': 'Julien Leroux', 'description': 'actor'}, {'name': 'Moshe Zonder', 'description': 'actor'}, {'name': 'Peter Emerson', 'description': 'actor'}, {'name': 'Shula Spiegel', 'description': 'actor'}, {'name': 'Dana Eden', 'description': 'actor'}, {'name': 'Maor Kohn', 'description': 'actor'}, {'name': 'Moshe Zonder', 'description': 'actor'}]"
Family Pictures,6/29/2019,Drama,"Free Services, Prime Video",America,Movie,7+ (PG),6.2/10,,"[{'name': 'Manu Boyer', 'description': 'director'}, {'name': 'Larissa Albuquerque', 'description': 'actor'}, {'name': 'Jackie Blackmore', 'description': 'actor'}, {'name': 'Justina Machado', 'description': 'actor'}, {'name': 'Elisabeth Röhm', 'description': 'actor'}, {'name': 'Courtney Richter', 'description': 'actor'}, {'name': 'Georgia Bradner', 'description': 'actor'}, {'name': 'Jason Burkart', 'description': 'actor'}, {'name': 'Chris Cope', 'description': 'actor'}, {'name': 'Kayla Deorksen', 'description': 'actor'}, {'name': 'Daniel Diemer', 'description': 'actor'}, {'name': 'Grayson Maxwell Gurnsey', 'description': 'actor'}, {'name': 'Matt Passmore', 'description': 'actor'}, {'name': 'James Pizzinato', 'description': 'actor'}, {'name': 'Bailee Reid', 'description': 'actor'}, {'name': 'Allison Riley', 'description': 'actor'}, {'name': 'Natalie Sharp', 'description': 'actor'}, {'name': 'Morgana Wyllie', 'description': 'actor'}, {'name': 'Jamie Goehring', 'description': 'actor'}, {'name': 'Rob Lycar', 'description': 'actor'}, {'name': 'Shawn Williamson', 'description': 'actor'}, {'name': 'David Fleming', 'description': 'actor'}, {'name': 'Jane Green', 'description': 'actor'}, {'name': 'Jocelyn Freid', 'description': 'actor'}]"
Santa Clara,12/25/2019,Drama,Prime Video ,,Movie,,6.2/10,,[]
World's Most Evil Killers,3/11/2018,"Documentary, Crime",Free Services,,TV Show,,7.2/10,11,[]
Sweeney Todd: The Demon Barber of Fleet Street,1/25/2007,"Musical, Thriller","HBO MAX, Prime Video",United Kingdom,Movie,18+ (R),7.3/10,,"[{'name': 'Tim Burton', 'description': 'director'}, {'name': 'Johnny Depp', 'description': 'actor'}, {'name': 'Helena Bonham Carter', 'description': 'actor'}, {'name': 'Alan Rickman', 'description': 'actor'}, {'name': 'Timothy Spall', 'description': 'actor'}, {'name': 'Sacha Baron Cohen', 'description': 'actor'}, {'name': 'Laura Michelle Kelly', 'description': 'actor'}, {'name': 'Jamie Campbell Bower', 'description': 'actor'}, {'name': 'Jayne Wisener', 'description': 'actor'}, {'name': 'Ed Sanders', 'description': 'actor'}, {'name': 'Buck Holland', 'description': 'actor'}, {'name': 'David McKail', 'description': 'actor'}, {'name': 'Colin Higgins', 'description': 'actor'}, {'name': 'Jess Murphy', 'description': 'actor'}, {'name': 'Harry Taylor', 'description': 'actor'}, {'name': 'Sophie Morris-Sheppard', 'description': 'actor'}, {'name': 'Anthony Stewart Head', 'description': 'actor'}, {'name': 'Ava May', 'description': 'actor'}, {'name': 'John Logan', 'description': 'actor'}, {'name': 'Laurie MacDonald', 'description': 'actor'}, {'name': 'Richard D. Zanuck', 'description': 'actor'}, {'name': 'Walter F. Parkes', 'description': 'actor'}, {'name': 'Patrick McCormick', 'description': 'actor'}, {'name': 'John Logan', 'description': 'author'}]"
ESP & Psychic Spies,1/1/2008,,Prime Video ,,Movie,,,,[]
Kadosh,1/1/1999,"Romance, Drama","Free Services, Prime Video",France,Movie,,6.8/10,,"[{'name': 'Amos Gitai', 'description': 'director'}, {'name': 'Yaël Abecassis', 'description': 'actor'}, {'name': 'Yoram Hattab', 'description': 'actor'}, {'name': 'Meital Barda', 'description': 'actor'}, {'name': 'Uri Ran Klauzner', 'description': 'actor'}, {'name': 'Amos Gitai', 'description': 'author'}, {'name': 'Eliette Abecassis', 'description': 'author'}]"
Yourself and Yours,11/10/2016,"Drama, Comedy",Kanopy,South Korea,Movie,,6.8/10,,"[{'name': 'Hong Sang-soo', 'description': 'director'}, {'name': 'Kim Joo-hyuk', 'description': 'actor'}, {'name': 'Lee Yoo-young', 'description': 'actor'}, {'name': 'Kim Eui-sung', 'description': 'actor'}, {'name': 'Kwon Hae-hyo', 'description': 'actor'}, {'name': 'Yu Jun-sang', 'description': 'actor'}, {'name': 'Baek Hyun-jin', 'description': 'actor'}, {'name': 'Gong Min-jeung', 'description': 'actor'}, {'name': 'Hong Sang-soo', 'description': 'actor'}, {'name': 'Hong Sang-soo', 'description': 'author'}]"
Tanzania Transit,5/3/2018,"Animation, Documentary",Prime Video ,Netherlands,Movie,13+ (PG-13),10-Aug,,"[{'name': 'Jeroen van Velzen', 'description': 'director'}, {'name': 'Josephs Quartzy', 'description': 'actor'}, {'name': 'Digna Sinke', 'description': 'actor'}, {'name': 'Esther Eenstroom', 'description': 'author'}, {'name': 'Jeroen van Velzen', 'description': 'author'}]"
Love of Siam,11/22/2007,"Romance, Mystery",Prime Video ,Thailand,Movie,,7.7/10,,"[{'name': 'Chookiat Sakveerakul', 'description': 'director'}, {'name': 'Witwisit Hiranyawongkul', 'description': 'actor'}, {'name': 'Mario Maurer', 'description': 'actor'}, {'name': 'Songsit Roongnophakunsri', 'description': 'actor'}, {'name': 'Pimpan Buranapim', 'description': 'actor'}, {'name': 'Chermarn Boonyasak', 'description': 'actor'}, {'name': 'Arthit Niyomkul', 'description': 'actor'}, {'name': 'Kanya Rattanapetch', 'description': 'actor'}, {'name': 'Aticha Pongsilpipat', 'description': 'actor'}, {'name': 'Pongnarin Ulice', 'description': 'actor'}, {'name': 'Jarunee Boonsake', 'description': 'actor'}, {'name': 'Nattapong Arunnate', 'description': 'actor'}, {'name': 'Taveesak Pehtpraneenukul', 'description': 'actor'}, {'name': 'Atirat Praseartburanakul', 'description': 'actor'}, {'name': 'Chirayu La-ongmani', 'description': 'actor'}, {'name': 'Sinjai Plengpanit', 'description': 'actor'}, {'name': 'Chookiat Sakveerakul', 'description': 'author'}]"
Facing the Giants,9/29/2006,"Sport, Drama",Prime Video ,America,Movie,7+ (PG),6.4/10,,"[{'name': 'Alex Kendrick', 'description': 'director'}, {'name': 'Alex Kendrick', 'description': 'actor'}, {'name': 'Shannen Fields', 'description': 'actor'}, {'name': 'Bill Butler', 'description': 'actor'}, {'name': 'Bailey Cave', 'description': 'actor'}, {'name': 'Steve Williams', 'description': 'actor'}, {'name': 'Tracy Goode', 'description': 'actor'}, {'name': 'Jim McBride', 'description': 'actor'}, {'name': 'Tommy McBride', 'description': 'actor'}, {'name': 'Jason McLeod', 'description': 'actor'}, {'name': 'Chris Willis', 'description': 'actor'}, {'name': 'Ray Wood', 'description': 'actor'}, {'name': 'Erin Bethea', 'description': 'actor'}, {'name': 'James Blackwell', 'description': 'actor'}, {'name': 'David Nixon', 'description': 'actor'}, {'name': 'Mark Richt', 'description': 'actor'}, {'name': 'Dan W. Howell Sr.', 'description': 'actor'}, {'name': 'Michael McLendon', 'description': 'actor'}, {'name': 'Kyle Scott', 'description': 'actor'}, {'name': 'Mary Smit', 'description': 'actor'}, {'name': 'Janet Lee Dapper', 'description': 'actor'}, {'name': 'Alex Kendrick', 'description': 'author'}, {'name': 'Stephen Kendrick', 'description': 'author'}]"
